filename,success,collision_occurred,wall_collisions,agent_collisions,human_collisions,timeout_occurred,failure_to_progress,stalled_time,time_to_goal,path_length,success_weighted_path_length,v_min,v_avg,v_max,a_min,a_avg,a_max,j_min,j_avg,j_max,cd_min,cd_avg,space_compliance,min_distance_to_human,min_time_to_collision,aggregated_time,quality_score
A000010.json,1,0,0,0,0,0,0,3.6999999999999997,11.000000000000002,5.837283285641778,0.5197239971461364,0.0,0.5183098668783483,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.36701046542808174,1.0218982813739594,0.63,0.36701046542808174,0.45876307494899965,11.000000000000002,0.63
A000015.json,1,0,0,0,0,0,0,0.0,2.1,1.679987679247678,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6927823543116313,0.8788978409469342,1.0,0.6927823543116313,0.8659779299854623,2.1,1.0
A000026.json,1,0,0,0,0,0,0,1.1,3.2,1.6799216970797157,1.0,0.0,0.566666675110658,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6664271795546375,0.9333883928200324,1.0,0.6664271795546375,0.8330339620301235,3.2,1.0
A000005.json,1,1,0,0,0,0,0,0.0,12.200000000000001,5.679027575204725,0.3117715884279547,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.5526298080732085,1.4550850922907672,0.66,0.5526298080732085,0.6907872497979785,12.200000000000001,0.66
A000024.json,1,1,0,0,0,0,0,2.200000000000001,17.5,4.5487182445209875,0.15415380979704604,0.0,0.6972931547598405,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.3426957731208447,0.5302595656449065,0.28,0.3426957731208447,0.4283697100178498,17.5,0.28
A000020.json,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.8409780402377066,0.8409780402377066,1.0,0.8409780402377066,1.0512225346326969,0.0,1.0
A000016.json,1,0,0,0,0,0,0,0.8,2.6,1.373586212205154,0.9159987719774916,0.0,0.5432652831077576,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.5838678122482434,1.0255204878743724,0.88,0.5838678122482434,0.7298347544349189,2.6,0.88
A000017.json,1,1,0,0,0,0,0,0.20000000000000018,6.000000000000001,4.382481900227239,0.43436240612368066,0.0,0.7200536571797871,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.722803306314822,1.3116684167422523,0.74,0.722803306314822,0.903504119430267,6.000000000000001,0.74
A000040.json,1,0,0,0,0,0,0,0.7999999999999998,7.000000000000001,4.971745636756276,0.6331358294806742,0.0,0.7056845662494501,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.010289507995266,1.7161064632934202,1.0,1.010289507995266,1.2628618661759743,7.000000000000001,1.0
A000047.json,1,0,0,0,0,0,0,2.1,5.000000000000001,2.478936067884953,0.8482206042566561,0.0,0.46666667362054187,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.3238106349494438,1.7827947001219147,1.0,1.3238106349494438,1.6547632690289107,5.000000000000001,1.0
A000004.json,1,0,0,0,0,0,0,0.5,3.8000000000000003,2.7994257536801617,0.5166145743997032,0.0,0.7172413899980742,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.6070384337826942,1.9162551531619367,1.0,1.6070384337826942,2.045098835616529,3.8000000000000003,1.0
A000021.json,1,0,0,0,0,0,0,1.9000000000000001,3.7,1.4399491215206386,1.0,0.0,0.4285714349576405,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.969389500349527,1.1288814573214896,1.0,0.969389500349527,1.2117368573806224,3.7,1.0
A000007.json,1,0,0,0,0,0,0,0.7000000000000001,2.2,1.1199940114190399,1.0,0.0,0.5000000074505806,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,1.6063343526238396,2.019280629495445,1.0,1.6063343526238396,2.007917910859491,2.2,1.0
A000013.json,1,0,0,0,0,0,0,0.10000000000000009,6.500000000000001,5.038181778977603,0.6591971257330597,0.0,0.7822222338782416,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.8330533911613605,1.307801131101482,1.0,0.8330533911613605,1.0413167234348721,6.500000000000001,1.0
A000000.json,1,0,0,0,0,0,0,0.7000000000000001,3.8000000000000003,2.3896121855140757,0.7691093315835085,0.0,0.631111936322574,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.8362766150557857,1.2454111054825798,1.0,0.8362766150557857,1.227901810174874,3.8000000000000003,1.0
A000003.json,1,1,0,0,0,0,0,1.1999999999999997,7.000000000000001,4.069585280742593,0.6013382648434697,0.0,0.6500000096857548,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.31533407825161264,0.881563171956517,0.31,0.31533407825161264,0.39416759194096096,7.000000000000001,0.31
A000009.json,1,0,0,0,0,0,0,0.7999999999999994,6.700000000000001,4.798609655825726,0.5769167999277112,0.0,0.7130434888860454,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6277140977925882,1.16987495618505,0.93,0.6277140977925882,0.7846426105486493,6.700000000000001,0.93
A000051.json,1,1,0,0,0,0,0,1.6999999999999997,6.700000000000001,3.7556485380425166,0.771586942476939,0.0,0.5913043566372084,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.3463801223362225,0.7660187857398695,0.42,0.3463801223362225,0.4329751464684457,6.700000000000001,0.42
A000036.json,1,1,0,0,0,0,0,0.7999999999999998,12.000000000000002,8.63661882414604,0.3572963118785721,0.0,0.7584415697432184,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.31217407193763647,1.233937301354151,0.41,0.31217407193763647,0.39021758410735047,12.000000000000002,0.41
A000031.json,1,0,0,0,0,0,0,3.3000000000000003,8.600000000000001,4.157975740808171,0.7428808536382516,0.0,0.46315790163843257,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.6504506645555699,0.8778101581171999,0.96,0.6504506645555699,0.8130633185788748,8.600000000000001,0.96
